국가,국가코드(ISO 2자리 코드),공공기관유형,공공기관명,공공기관진출내용,기준년도
타이완,TW,일반기관,대한항공,,2020
타이완,TW,일반기관,아시아나항공,,2020
타이완,TW,일반기관,70여개 사,,2020
타이완,TW,정부투자기관,한국관광공사 대북지사,,2020
타이완,TW,정부투자기관,Korea Trade Center(韓國貿易中心),,2020
타이완,TW,일반기관,"삼성(전자, 물산, 전기 등)",,2020
타이완,TW,일반기관,"LG(전자, 화학 등)",,2020
탄자니아,TZ,정부기관,KOICA,,2020
탄자니아,TZ,정부기관,대사관,,2020
탄자니아,TZ,정부기관,무역관,,2020
탄자니아,TZ,정부기관,수출입은행,,2020
투르크메니스탄,TM,정부기관,대사관,,2020
트리니다드토바고,TT,정부기관,대사관,,2020
파나마,PA,일반기관,지상사 19개,공기업 2개 포함,2020
파나마,PA,정부투자기관,KOTRA,,2020
파나마,PA,정부기관,대사관,,2020
파나마,PA,일반기관,KEB 하나은행,,2020
파나마,PA,일반기관,금호타이어,,2020
파나마,PA,일반기관,삼성물산,,2020
파나마,PA,일반기관,효성,,2020
파나마,PA,일반기관,삼성전자,,2020
파나마,PA,일반기관,LG전자,,2020
파나마,PA,일반기관,동부대우일렉트로닉스,,2020
파나마,PA,일반기관,한국타이어,,2020
파나마,PA,일반기관,무역보험공사,,2020
파나마,PA,일반기관,현대삼호중공업,,2020
파나마,PA,일반기관,현대자동차,,2020
파나마,PA,일반기관,범한 판토스,,2020
파나마,PA,일반기관,SK건설,,2020
파나마,PA,일반기관,삼성 SDS,,2020
파나마,PA,일반기관,포스코대우,,2020
파나마,PA,일반기관,포스코건설,,2020
파나마,PA,일반기관,신스틸,,2020
파라과이,PY,일반기관,삼성전자,,2020
파라과이,PY,일반기관,LG전자,,2020
파라과이,PY,일반기관,일성건설,,2020
파라과이,PY,일반기관,THN,,2020
파라과이,PY,정부기관,대사관,,2020
파라과이,PY,정부투자기관,대한무역투자진흥공사(KOTRA),,2020
파라과이,PY,일반기관,LG전자,,2020
파라과이,PY,일반기관,삼성전자,,2020
파라과이,PY,일반기관,일성건설,,2020
파라과이,PY,일반기관,THN,,2020
파라과이,PY,일반기관,㈜청보무역,,2020
파라과이,PY,정부기관,한국국제협력단(KOICA),,2020
파라과이,PY,정부기관,해외농업기술개발센터(KOPIA),,2020
파키스탄,PK,정부투자기관,KOTRA,,2020
파키스탄,PK,정부기관,대사관,,2020
파키스탄,PK,정부기관,주카라치 분관,,2020
파키스탄,PK,일반기관,현대자동차,,2020
파키스탄,PK,일반기관,대우고속,,2020
파키스탄,PK,일반기관,롯데케미컬,,2020
파푸아뉴기니,PG,정부기관,대사관,,2020
파푸아뉴기니,PG,일반기관,한중발전소,두산?대우합작,2020
팔레스타인,PS,정부기관,텔아비브 및 암만주재 지사에서 팔레스타인 지역 관할,진출기업 없음,2020
페루,PE,일반기관,LG전자,지상사,2020
페루,PE,일반기관,삼성전자,지상사,2020
페루,PE,일반기관,포스코대우,지상사,2020
페루,PE,일반기관,SK에너지,자원개발업체,2020
페루,PE,정부투자기관,석유공사,자원개발업체,2020
페루,PE,정부기관,KOICA,,2020
페루,PE,정부투자기관,KOTRA,,2020
페루,PE,정부기관,대사관,,2020
페루,PE,일반기관,한국석유공사,,2020
페루,PE,일반기관,한국광물자원공사,,2020
페루,PE,일반기관,SK이노베이션,,2020
페루,PE,일반기관,고려아연,,2020
페루,PE,일반기관,LS-니꼬,,2020
페루,PE,일반기관,포스코건설,,2020
페루,PE,일반기관,대우인터내셔널,,2020
포르투갈,PT,정부기관,대사관,,2020
포르투갈,PT,일반기관,삼성전자,,2020
포르투갈,PT,일반기관,LG전자,,2020
포르투갈,PT,일반기관,한온시스템,,2020
포르투갈,PT,일반기관,유도실업,,2020
포르투갈,PT,일반기관,두올 보르그스테나,,2020
프랑스,FR,정부투자기관,한국수력원자력,,2020
프랑스,FR,정부기관,대사관,,2020
프랑스,FR,정부기관,주OECD 대표부,,2020
프랑스,FR,정부기관,주UNESCO대표부,,2020
프랑스,FR,일반기관,외환은행,,2020
프랑스,FR,일반기관,대한항공,,2020
프랑스,FR,일반기관,삼성전자,,2020
프랑스,FR,일반기관,현대?기아자동차,,2020
프랑스,FR,일반기관,LG전자,,2020
프랑스,FR,일반기관,한국타이어,,2020
프랑스,FR,일반기관,금호타이어,,2020
프랑스,FR,일반기관,현대종합상사,,2020
프랑스,FR,일반기관,아시아나항공,,2020
프랑스,FR,일반기관,한진해운,,2020
프랑스,FR,정부투자기관,KOTRA,,2020
프랑스,FR,정부투자기관,관광공사,,2020
프랑스,FR,정부투자기관,금융감독원,,2020
프랑스,FR,정부투자기관,농수산식품유통공사,,2020
프랑스,FR,정부투자기관,무역보험공사,,2020
프랑스,FR,정부투자기관,수출입은행,,2020
프랑스,FR,정부투자기관,철도공사,,2020
피지,FJ,정부기관,대사관,,2020
피지,FJ,일반기관,"KAL, VOCO 등 9개 업체",,2020
핀란드,FI,정부투자기관,KOTRA,,2020
핀란드,FI,정부기관,대사관,,2020
핀란드,FI,일반기관,삼성반도체,,2020
핀란드,FI,일반기관,삼성디스플레이,,2020
핀란드,FI,일반기관,LG전자,,2020
필리핀,PH,정부투자기관,KOTRA,,2020
필리핀,PH,정부기관,대사관,,2020
필리핀,PH,정부투자기관,한국전력,,2020
필리핀,PH,일반기관,한진,,2020
필리핀,PH,일반기관,동성,,2020
필리핀,PH,일반기관,신성,,2020
필리핀,PH,일반기관,대우,,2020
필리핀,PH,일반기관,현대,,2020
필리핀,PH,일반기관,삼성,,2020
필리핀,PH,일반기관,LG,,2020
필리핀,PH,정부투자기관,한국통신,,2020
헝가리,HU,일반기관,삼성전자,,2020
헝가리,HU,일반기관,삼성SID,,2020
헝가리,HU,일반기관,한국타이어,,2020
호주,AU,정부투자기관,KOTRA,"시드니, 멜버른",2020
호주,AU,정부투자기관,관광공사,,2020
호주,AU,정부기관,대사관,,2020
호주,AU,정부투자기관,대한광물자원공사,,2020
호주,AU,정부투자기관,외환은행,,2020
호주,AU,정부기관,주멜번분관,,2020
호주,AU,정부기관,주시드니총영사관,,2020
호주,AU,정부투자기관,한국전력공사,,2020
