사업번호,사업명,시작연도,종료연도,사업개요서링크
2023-00067,코트디부아르 펠릭스 우푸에 부아니대학교 ICT 교육역량 강화 및 ICT 혁신센터 설립 사업('23-'27/995만불),2023,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00067
2023-00066,코트디부아르 아비장시 아보보 지역 상수급수 연결 사업('23-'26/700만불),2023,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00066
2023-00061,"세네갈 콜다 주 통합적 접근을 통한 미곡가치사슬 강화사업('23-'28/1,450만불)",2023,2028,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00061
2023-00059,우즈베키스탄 식물검역행정 역량강화 및 식물검역소 개선사업('23-'27/674만불),2023,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00059
2023-00057,이집트 한-이집트 기술대학 교육역량 및 산학협력 강화 사업,2023,2028,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00057
2023-00055,방글라데시 플랫폼 기반의 통계 서비스 역량강화사업('23-'26/965만불),2023,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00055
2023-00052,네팔 포카라시 리사이클/업사이클 플랫폼 및 친환경 시범마을 구축을 통한 녹색일자리 창출지원사업('23-'29/980만불),2023,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00052
2023-00033,피지 신재생에너지 확산 및 역량강화사업('23-'26/700만불),2023,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00033
2023-00032,피지 국립대학교 의과대학 교육 역량강화사업(23-27/977만불),2023,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00032
2023-00030,키르기스스탄 가축 품종개량 및 인공수정인력 역량강화사업('23-'27/750만불),2023,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00030
2023-00027,키르기스스탄 국회 디지털화 사업('23-'27/840만불),2023,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00027
2023-00022,우간다 지속가능한 농촌개발을 위한 수행역량 강화사업('24-'29/550만불),2024,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00022
2023-00008,캄보디아 ICT 분야 직업기술훈련 역량강화 및 교육훈련 환경구축 사업('23-'27/800만불),2023,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00008
2023-00005,"모로코 마라케시 친환경 전기버스 교통체계 구축사업('23-'26/1,300만불)",2023,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2023-00005
2022-00599,"캄보디아 건강형평성 및 보건의료 질 향상 프로그램 2차 사업('22-'27/1,000만불)",2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00599
2022-00596,"에티오피아 오로미아-소말리주 분쟁지역 이주민 사회경제적 회복력 구축 지원사업(IOM)('22-'25/1,000만불)",2022,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00596
2022-00178,방글라데시 차토그램 광역권 도시교통 마스터플랜 수립 및 도시철도 건설 예비타당성조사사업('22-'24/600만불),2022,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00178
2022-00176,우즈베키스탄 타슈켄트소아의과대학교 교육 연구 역량강화 사업('22-'27/500만불),2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00176
2022-00175,가나 세무행정 현대화 마스터플랜 수립사업('22-'25/220만불),2022,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00175
2022-00173,몽골 성과주의 확립을 위한 인사행정 역량강화사업('22-'25/300만불),2022,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00173
2022-00171,르완다 농산물 가치사슬 스마트화 지원사업(`22-`26/950만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00171
2022-00168,우즈베키스탄 타슈켄트정보통신대학교 취창업 연계형 비즈니스 IT 교육 역량강화 사업('22-'27/500만불),2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00168
2022-00162,몽골과학기술대 도시계획공학과 설립 및 도시개발 전문인력 역량강화 사업('22-'27/500만불),2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00162
2022-00161,몽골 생명과학대학교 산학연계형 고등교육 역량강화사업('22-'26/500만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00161
2022-00159,베트남 부동산 가격 DB 구축 및 가격정보종합시스템 개발 사업('22-'24/736만불),2022,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00159
2022-00156,튀니지 산업재산권 공공행정 정보시스템 개선 사업('22-'26/373만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00156
2022-00143,"DR콩고 카사이성트랄 주 만성영양실조 예방 사업(WFP, UNICEF)('22-'26/800만불)",2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00143
2022-00142,카메룬 전자정부 인식개선 및 역량강화 사업('22-'26/823만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00142
2022-00140,과테말라 키체주 농촌취약지역 기후회복력 강화사업('22-'26/700만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00140
2022-00138,"가나 북부 2개주 포괄적 일차보건의료체계 강화사업('22-'27/1,240만불)",2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00138
2022-00128,베트남 타이응웬성 지속가능한 폐기물관리체계 구축을 통한 폐기물 감량화 및 자원화 지원사업('22-'25/810만불),2022,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00128
2022-00127,"베트남 꽝찌성 장애인 종합재활센터 설립사업('22-'26/1,200만불)",2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00127
2022-00126,솔로몬군도 모자보건지원 2차사업(WHO)('22-'26/660만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00126
2022-00123,팔레스타인 야타지역 교육 취약계층 청소년을 위한 기술교육 고등학교 지원사업('22-'27/650만불),2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00123
2022-00120,탄자니아 보건분야 공동재정지원 프로그램 3차사업('22-'25/900만불),2022,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00120
2022-00119,스리랑카 경력개발 플랫폼을 활용한 직업기술교육훈련생 취업지원 사업 ('22-'26/600만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00119
2022-00117,도미니카공화국 조혼 및 여성대상폭력 예방을 통한 성평등 증진사업(UNICEF) ('22-'25/380만불),2022,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00117
