사업번호,사업명,시작연도,종료연도,사업개요서링크
2021-00125,케냐 청년취업 증진을 위한 직업기술교육훈련사업(GIZ)('21-'24/7...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00125
2021-00123,우간다 캄팔라지역 고형폐기물 및 분뇨처리 역량강화사업(GGGI)(`21-...,2021,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00123
2021-00121,탄자니아 도도마주 보건의료정보체계(GoT-HoMIS) 확산 사업(`21-...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00121
2021-00119,탄자니아 청년 취업을 위한 직업능력개발사업(GIZ)(`21-`23/530...,2021,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00119
2021-00117,에티오피아 암하라주 농산물 수확후 관리 및 유통기능 제고를 통한 농촌지역...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00117
2021-00111,엘살바도르 ITCA 공학교육역량 강화사업('21-'26/580만불)   ...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00111
2021-00109,이집트 여성 경제 역량강화 사업(UN Women)('21-'24/250만...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00109
2021-00105,과테말라 수도권 교통개선마스터플랜 수립 및 순환고속도로 타당성 조사사업(...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00105
2021-00104,코트디부아르 국립직업기술교육원 교사 ICT기반 교수역량강화사업('21-'...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00104
2021-00103,수단 아비에이 지역 참여적 사회통합 및 경제 회복력 강화 사업(`21-`...,2021,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00103
2021-00100,르완다 소프트웨어 특성화고 역량강화 사업('21-'25/710만불)...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00100
2021-00098,에티오피아 아디스아바바 강변개발 미스터플랜 수립지원 및 Sheger강 상...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00098
2021-00097,피지 농업공존형 태양광 발전사업(GCF)('21-'24/800만불)...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00097
2021-00094,필리핀 정부 통합수자원관리 및 개발 역량강화 사업('21-'24/250만...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00094
2021-00092,라오스 농촌개발 실행전략 수립 및 중북부지역 농가소득증대 시범사업('21...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00092
2021-00090,코트디부아르 북부 3개주 젠더기반 포용적 중등교육사업(UNICEF)('2...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00090
2021-00089,페루 취약계층 건강보험 심사절차 디지털화 및 원격의료 플랫폼 구축사업('...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00089
2021-00088,이라크 분쟁 피해지역 경제회복 지원 사업(IOM)('21-'24/500만...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00088
2021-00087,튀니지 고용정책 실현 강화와 청년 및 여성을 위한 ICT 기반 일자리 창...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00087
2021-00085,우즈베키스탄 교수학습개발복합센터 건립을 통한 유아교사 역량강화사업('21...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00085
2021-00083,페루 평화판사 역량강화를 통한 지역사회 젠더폭력 대응력 개선사업('21-...,2021,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00083
2021-00081,볼리비아 성 및 재생산권리 향상을 위한 성평등 촉진 사업 (UNFPA)(...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00081
2021-00080,볼리비아 취약계층 여성의 비즈니스 역량강화 및 성주류화 제도수립 지원 (...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00080
2021-00078,스리랑카 사법체계의 마약분석 역량강화사업(`21-`24/400만불)...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00078
2021-00075,동티모르 농민참여형 가치사슬 개선사업('21-'25/600만불)...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00075
2021-00073,동티모르 학교 중심 기초보건시스템 개선 및 학교급식 역량강화 사업('21...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00073
2021-00072,필리핀 국립대학교 첨단 농업연구센터 설립 및 고등교육 역량강화 사업('2...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00072
2021-00070,"한-메콩 생물다양성 센터 건립 및 역량강화사업('21-'26/1,000만...",2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00070
2021-00068,"미얀마 농식품 안전 및 식물검역 역량강화 사업('21-'26/1,350만...",2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00068
2021-00064,파라과이 멀티미디어 교육 지원센터 설립을 통한 교육접근성 향상사업('21...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00064
2021-00063,콜롬비아 농촌 여성의 경제 역량강화를 위한 환경 조성 및 소득 개선사업(...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00063
2021-00062,에티오피아 기후변화 대응 산림 및 토지복원 사업(GGGI)('21-'25...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00062
2021-00060,콜롬비아 조선업 활성화 기반 구축 사업('21-'24/500만불)...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00060
2021-00058,모로코 북부 지역 모자보건 향상을 위한 1차 의료 역량강화사업('21-'...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00058
2021-00056,스리랑카 기술 대학 및 고등학교 건설학과 역량강화 사업('21-'24/4...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00056
2021-00055,세네갈 잠냐죠 고등기술전문대학 메이커스페이스 구축 및 창업 인큐베이팅 지...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00055
2021-00054,세네갈 대국민 소통 증진을 위한 국회의정활동시스템 현대화 사업('21-'...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00054
2021-00053,베트남 산업계 에너지효율 투자시장 활성화 및 녹생성장계획 지원사업('21...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00053
2021-00050,이집트 젠더폭력 예방 및 대응 사업(UNFPA)('21-'24/400만불...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00050
2021-00048,아제르바이잔 혁신정책로드맵 수립을 통한 혁신역량 강화 사업('21-'24...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00048
2021-00043,우간다 주요 채소작물 종자 가치사슬 역량강화사업(`21-`29/800만불...,2021,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00043
2021-00042,우간다 농업지도자 연수원 자립적 운영체계 구축 및 연수역량 강화사업(`2...,2021,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00042
2021-00039,캄보디아 중학교 ICT교육역량 강화 사업(‘21-’...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00039
2021-00038,캄보디아 북서부 3개주 지뢰제거를 통한 평화마을 조성사업 (UNDP)('...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00038
2021-00035,베트남 후에시 문화관광 스마트시티 조성 지원사업(‘21-&rs...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00035
2021-00031,모잠비크 리쿵고 강유역 홍수예경보시스템 구축사업(`21-`25/750만불...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00031
2021-00023,"나이지리아 공립 초, 중학교 멀티미디어 교육환경 개선 및 교육역량강화 사...",2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00023
2021-00018,몽골 철도교통관제센터 건립 및  운영 역량강화를 통한 철도교통 경쟁력 강...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00018
2021-00017,몽골 공공의사결정에서의 양성평등 달성을 위한 여성 권한 강화사업(UNDP...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00017
2021-00016,가나대학교 연구 및 ICT 혁신센터 건립 사업('21-'25/900만불)...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00016
2021-00014,DR콩고 오트우엘레주 산림전용 및 황폐화방지 이니셔티브(REDD+)를 통...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00014
2021-00013,캄보디아 메콩델타 지역 통합물관리 마스터플랜 수립사업('21-'23/20...,2021,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00013
2021-00012,"DR콩고 킨샤샤, 크윌루 주 취약계층 아동 학습권 강화 및 청소년 사회통...",2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00012
2021-00009,인도네시아 국립대학교 ICT기반 통합지식교육센터 구축 사업 ('21-'2...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00009
2020-00119,"이라크 한-이라크 심장병 어린이 전문 병원 건립사업(`20-`25/2,5...",2020,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00119
2020-00117,르완다 조세정책 및 세무행정개선 컨설팅 사업('20-'24/192만불) ...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00117
2020-00114,네팔 보건 및 소득증대를 통한 통합적 농촌지역 역량강화사업(`20-`25...,2020,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00114
2020-00113,방글라데시 사이버안전을 위한 디지털 수사 역량 확산 사업('20-'23/...,2020,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00113
2020-00112,몽골 국립과학수사원 법과학 역량강화 사업('20-'23/700만불)...,2020,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00112
2020-00111,말라위 여성 청소년 성적 권리 강화 및 사회적 자립 통합지원 사업 (UN...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00111
2020-00110,마다가스카르 남부지역 만성영양실조 개선 사업 (WFP)('20-'24/6...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00110
2020-00109,코스타리카 국가표준기관 법정계량 역량 강화 사업('20-'24/300만불...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00109
2020-00108,세네갈 포도르 지역 새마을 시범마을을 통한 농촌개발 사업('20-'24/...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00108
2020-00107,베트남 다낭시 스마트 통합 도시재난관리센터 구축 및 재난대응 역량강화 사...,2020,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00107
2020-00106,스리랑카 콜롬보시 세무정보시스템 구축사업('20-'24/700만불)...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00106
2020-00104,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00104
2020-00102,인도네시아 한-인니-동티모르 태양광 에너지 접근성 향상 사업 (UNDP)...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00102
2020-00101,필리핀 경쟁위원회 사건처리역량강화사업('20-'23/520만불)...,2020,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00101
2020-00100,쿠바 자연재해 및 기후변화 대응을 위한 동부지역 식량공급시스템 강화 사업...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00100
2020-00099,키르기즈공화국 행정정보공유체계 구축 및 역량개발 사업('20-'24/50...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00099
2020-00096,필리핀 마라위 평화 정착을 위한 이주민 생계지원 사업 (IOM)('20-...,2020,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00096
2020-00095,필리핀 지역사회 기반 보건 서비스 전달 체계 강화 사업 (WHO)('20...,2020,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00095
2020-00094,필리핀 농기계현대화센터 구축 및 역량강화 사업('20-'25/578만불)...,2020,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00094
2020-00093,요르단 카락주 파쿠오 지역 노후 상수도 관망 개선사업('20-'24/92...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00093
2020-00091,요르단 발카대학교 산하 카락 및 이르비드 전문대학의 직업교육훈련 역량강화...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00091
2020-00088,우즈베키스탄 상공회의소 기술기반 창업촉진센터 역량강화 사업('20-'24...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00088
2020-00087,인도네시아 취약계층 청소년 사회복귀 지원 사업('20-'23/700만불)...,2020,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00087
2020-00086,우즈베키스탄 우르겐치 직업훈련원 건립 및 직업훈련 제도역량 공고화 지원 ...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00086
2020-00085,인도네시아 찌따룸강 유역 홍수예경보 시스템 구축 2차 사업('20-'24...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00085
2020-00082,페루 지속가능한 광산 환경복원력 증진사업('20-'25/640만불)...,2020,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00082
2020-00080,파라과이 아순시온 도시교통혼잡 완화를 위한 대중교통 개선 사업('20-'...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00080
2020-00079,파라과이 관세청 전자통관시스템 고도화 및 역량강화 사업('20-'24/1...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00079
2020-00077,콜롬비아 뿌뚜마요 지역 마약 대체작물 재배 및 상업화를 통한 지역 농가 ...,2020,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00077
2020-00074,에콰도르 국가품질 서비스 개선을 위한 법정계량 역량강화 사업('20-'2...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00074
2020-00073,에콰도르 키토시 혁신센터 건립을 통한 창업 및 기업혁신 지원체계 강화 사...,2020,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00073
2020-00070,도미니카공화국 여성 중심 취약계층 사회·경제적 역량강화사업(...,2020,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00070
2020-00068,튀니지 전자정부 역량강화를 위한 온라인 개방형 교육훈련 시스템 구축 사업...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00068
2020-00067,모로코 직업훈련교사 기술 향상 훈련 허브 센터 설립 사업('20-'24/...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00067
2020-00066,탄자니아 교육분야 결과기반 재정지원 프로그램('20-'23/700만불)...,2020,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00066
2020-00065,탄자니아 싱기다/신양가 주 여성 및 소녀 역량강화를 통한 양성평등 구현 ...,2020,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00065
2020-00059,"캄보디아 지역농산물 활용 학교 급식 사업 (WFP)('20-'24/1,0...",2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00059
2020-00058,카메룬 2개주 주민등록 전산화시스템 구축 시범사업('20-23/485만불...,2020,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00058
2020-00057,"인도 중소기업 역량강화 사업 (ILO)('20-'24/238만불)	...",2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00057
2020-00055,우간다 동부 부소가 지역 성생식모자청소년보건 서비스 개선을 위한 보건시스...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00055
2020-00054,우간다 산업수요기반 직업기술교육훈련 역량강화사업('20-'27/700만불...,2020,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00054
2020-00053,에티오피아 양질의 일자리 창출을 위한 ICT 기반의 창업 및 중소기업(S...,2020,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00053
2020-00052,에티오피아 직업기술교육훈련 관리자 및 교사 역량강화 사업('20-'26/...,2020,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00052
2020-00051,에티오피아 베니샹굴구무즈 및 아파르 주 지역기반 통합 신생아 및 아동 보...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00051
2020-00050,수단 소외열대질환(NTD) 퇴치 및 네트워크 구축 사업('20-'24/7...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00050
2020-00049,수단 한-수 직업훈련원 역량 강화 사업('20-'24/500만불) ...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00049
2020-00048,"세네갈 미곡가치사슬 강화 2차 사업('20-'26/1,100만불)...",2020,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00048
2020-00047,모잠비크 남풀라 및 잠베지아 주 초등교육 형평성 및 질적 개선 사업 (U...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00047
2020-00039,베트남 탱화성 Ma강 수자원관리 시스템 구축 지원 사업('20-'24/9...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00039
2020-00037,베트남 꽝남성 땀끼시 스마트시티 구축 지원사업('20-'25/900만불)...,2020,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00037
2020-00036,방글라데시 IOM 인신매매 통합대응 프로그램('20-'24/586만불) ...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00036
2020-00035,방글라데시 지능형교통체계(ITS) 활용 국가 간선도로망 안전성 강화 사업...,2020,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00035
2020-00034,미얀마 교량 안전관리기술 역량강화사업('20-'24/480만불) ...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00034
2020-00033,미얀마 라카인 마나웅섬 2.5MW 태양광전력시스템 구축 사업('20-'2...,2020,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00033
2020-00031,미얀마 ICT를 활용한 개발소외지역 참여적 농촌개발 사업('20-'25/...,2020,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00031
2020-00029,몽골 국가등록업무 시스템 운영지원사업('20-'22/800만불)...,2020,2022,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00029
2020-00028,라오스 여성폭력 예방·대응체계 및 정책역량 강화 사업('20-'24/70...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00028
2020-00027,라오스 남능강 유역의 효율적 물관리 시스템 구축 및 재해대응 역량강화사업...,2020,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00027
2020-00026,르완다 직업기술교육훈련 품질관리 역량 강화사업('20-'24/800만불)...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00026
2020-00025,"나이지리아 디지털 거버넌스 기반환경 조성사업('20-'26/1,300만불...",2020,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00025
2020-00020,가나 여성청소년 수학.과학 교육지원 사업('20-'24/800만불)...,2020,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2020-00020
2019-02728,라오스 앗따쁘주 기후변화 대응 회복력 및 자립역량 강화를 위한 통합 프로...,2019,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-02728
2019-01473,베트남 이주로 인한 사회취약계층 여성 및 가구지원을 위한 여성연맹 역량강...,2019,2022,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-01473
2019-00075,미얀마 스쿨버스 지원을 통한 교육환경 개선사업('19-'22/300만불)...,2019,2022,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00075
2019-00074,라오스 도시환경 개선을 위한 폐수 및 폐기물처리 역량강화 사업('19-'...,2019,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00074
2019-00072,라오스 불발탄 제거 지원 2차 사업('19-'23/550만불) ...,2019,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00072
2019-00071,라오스 성생식 모자보건 접근성 개선을 위한 서비스 수준 강화 및 지역기반...,2019,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00071
2019-00070,"미얀마 자동차 통합정보관리 시스템 구축사업('19-'23/1,000만불)...",2019,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00070
2019-00069,미얀마 기후변화 적응을 위한 농촌지도 역량강화 사업('19-'23/950...,2019,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00069
2019-00068,"베트남 뚜옌꽝성 포용적 농촌개발 프로그램(`19-`23/1,500만불)...",2019,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00068
2019-00067,베트남 인민법원 재판절차의 투명성 강화 및 재판품질 향상 지원 사업('1...,2019,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00067
2019-00066,캄보디아 동북부 소외지역 모자보건 프로그램('19-'23/700만불)  ...,2019,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00066
2019-00065,캄보디아 앙코르유적 프레아피투 사원과 코끼리테라스 보존 및 복원 2차 사...,2019,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00065
2019-00064,캄보디아 산학연계 비즈니스 인큐베이팅 체계 구축 사업('19-'24/79...,2019,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00064
2019-00062,동티모르 지역사회 기반 결핵진단 및 관리 역량강화사업('19-'24/60...,2019,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00062
2019-00060,인도네시아 자카르타 광역 ITS 마스터플랜 수립 및 시범시스템 구축사업(...,2019,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00060
2019-00059,인도네시아 UNDP 통합민원체계 구축 역량강화사업('19-'23/520만...,2019,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00059
2019-00058,인도네시아 자카르타 경전철 운영안정화를 위한 역량강화사업('19-'24/...,2019,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00058
2019-00055,필리핀 FAO 민다나오 지속가능한 개발을 위한 농촌 비즈니스 강화사업('...,2019,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00055
2019-00054,필리핀 팜팡가강 유역 수자원 통합 관리시스템 구축 2차 사업('19-'2...,2019,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00054
2019-00053,필리핀 GGGI 미마로파 낙후 농촌지역 기후복원력 강화 지원 사업('19...,2019,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00053
2019-00052,몽골 직업기술교육훈련(TVET) 시스템 개선사업('19-'22/450만불...,2019,2022,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2019-00052
